gene	chr	tss
TMEM57	1	25430857
LDLRAP1	1	25543584
MAN1C1	1	25617467
SELENON	1	25800175
MTFR1L	1	25819905
AUNIP	1	25859458
PAQR7	1	25871253
STMN1	1	25906502
PAFAH2	1	25998157
EXTL1	1	26021779
SLC30A2	1	26046138
TRIM63	1	26067634
PDIK1L	1	26111776
FAM110D	1	26159019
ZNF593	1	26169896
CNKSR1	1	26177489
CATSPER4	1	26190627
CEP85	1	26234152
SH3BGRL3	1	26279721
UBXN11	1	26306704
CD52	1	26317919
AIM1L	1	26354130
ZNF683	1	26372794
LIN28A	1	26410767
DHDDS	1	26432281
HMGN2	1	26472410
RPS6KA1	1	26529757
ARID1A	1	26696030
PIGV	1	26787962
ZDHHC18	1	26826709
SFN	1	26863141
GPN2	1	26890378
GPATCH3	1	26900471
NR0B2	1	26914076
NUDC	1	26921721
KDF1	1	26960410
TRNP1	1	26993703
FAM46B	1	27012842
SLC9A1	1	27155130
WDTC1	1	27234515
TMEM222	1	27322144
SYTL1	1	27341991
MAP3K6	1	27366866
FCN3	1	27374852
CD164L2	1	27383333
GPR3	1	27392643
WASF2	1	27490187
AHDC1	1	27603494
FGR	1	27635216
IFI6	1	27672213
FAM76A	1	27725978
STX12	1	27773182
PPP1R8	1	27830813
THEMIS2	1	27872542
RPA2	1	27914797
SMPDL3B	1	27934954
XKR8	1	27959461
EYA3	1	28088637
PTAFR	1	28176944
DNAJC8	1	28233031
ATPIF1	1	28236090
SESN2	1	28259451
MED18	1	28329001
PHACTR4	1	28438149
SNHG3	1	28505942
RCC1	1	28518232
TRNAU1AP	1	28553016
RAB42	1	28592199
TAF12	1	28643092
GMEB1	1	28668727
YTHDF2	1	28736623
OPRD1	1	28812141
EPB41	1	28887090
TMEM200B	1	29123909
SRSF4	1	29182125
MECR	1	29230958
PTPRU	1	29236515
LINC01756	1	29350114
LINC01648	1	30037612
MATN1	1	30723585
LAPTM5	1	30757836
SDC3	1	30908633
PUM1	1	31065717
NKAIN1	1	31239887
SNRNP40	1	31296797
ZCCHC17	1	31296981
FABP3	1	31373288
SERINC2	1	31413812
LINC01226	1	31518434
TINAGL1	1	31576484
HCRTR1	1	31617699
PEF1	1	31645237
COL16A1	1	31704167
ADGRB2	1	31764063
SPOCD1	1	31816051
PTP4A2	1	31919658
KHDRBS1	1	32013693
TMEM39B	1	32072898
KPNA6	1	32108042
TXLNA	1	32179743
CCDC28B	1	32200385
IQCC	1	32205634
DCDC2B	1	32209093
TMEM234	1	32222371
EIF3I	1	32221583
FAM167B	1	32247216
LCK	1	32251238
HDAC1	1	32292106
MARCKSL1	1	32336239
FAM229A	1	32362243
TSSK3	1	32362260
BSDC1	1	32394461
ZBTB8B	1	32465056
ZBTB8A	1	32539144
ZBTB8OS	1	32650590
RBBP4	1	32651147
SYNC	1	32702760
KIAA1522	1	32765633
YARS	1	32818032
S100PBP	1	32825312
FNDC5	1	32870813
HPCA	1	32886496
TMEM54	1	32901440
RNF19B	1	32964813
AK2	1	33036911
AZIN2	1	33082177
TRIM62	1	33182070
ZNF362	1	33256572
A3GALT2	1	33321098
PHC2	1	33375593
ZSCAN20	1	33472630
CSMD2	1	34165842
HMGB4	1	33860474
C1orf94	1	34166882
GJB5	1	34755046
GJB4	1	34759740
GJB3	1	34781188
GJA4	1	34792997
SMIM12	1	34859816
DLGAP3	1	34929585
TMEM35B	1	34985347
ZMYM6	1	35031968
ZMYM1	1	35079362
SFPQ	1	35193145
ZMYM4	1	35268966
KIAA0319L	1	35557436
NCDN	1	35557791
TFAP2E	1	35573369
PSMB2	1	35641844
C1orf216	1	35719189
CLSPN	1	35769950
AGO4	1	35808226
AGO1	1	35883194
AGO3	1	35931081
TEKT2	1	36084074
ADPRHL2	1	36088851
COL8A2	1	36125084
TRAPPC3	1	36149514
MAP7D1	1	36155964
THRAP3	1	36224411
SH3D21	1	36307106
EVA1B	1	36323648
STK40	1	36385927
LSM10	1	36397959
OSCP1	1	36450485
MRPS15	1	36464439
CSF3R	1	36483314
GRIK3	1	37034243
ZC3H12A	1	37474517
MEAF6	1	37514819
SNIP1	1	37554344
DNALI1	1	37556918
GNL2	1	37595985
RSPO1	1	37634923
C1orf109	1	37690595
CDCA8	1	37692400
EPHA10	1	37765152
MANEAL	1	37794101
YRDC	1	37808193
C1orf122	1	37807800
MTF1	1	37859620
INPP5B	1	37947057
SF3A3	1	37990110
FHL3	1	38005515
UTP11	1	38012711
POU3F1	1	38046778
LINC01343	1	38214767
RRAGC	1	38859823
GJA9-MYCBP	1	38881626
MYCBP	1	38873378
GJA9	1	38881626
RHBDL2	1	38941830
AKIRIN1	1	38991243
NDUFS5	1	39026294
MACF1	1	39084166
KIAA0754	1	39409503
BMP8A	1	39491645
PABPC4	1	39576849
HEYL	1	39639676
NT5C1A	1	39672038
HPCAL4	1	39691485
PPIE	1	39738844
BMP8B	1	39788861
OXCT2	1	39771348
TRIT1	1	39883511
MYCL	1	39902015
MFSD2A	1	39955111
CAP1	1	40040582
PPT1	1	40097470
RLF	1	40161368
TMCO2	1	40247900
ZMPSTE24	1	40258049
COL9A2	1	40317267
SMAP2	1	40373705
ZFP69B	1	40450664
ZFP69	1	40477629
EXO5	1	40508718
ZNF684	1	40531560
RIMS3	1	40665652
NFYC	1	40691569
KCNQ4	1	40784011
CITED4	1	40862346
CTPS1	1	40979298
SLFNL1	1	41021755
SCMH1	1	41242143
FOXO6	1	41361930
EDN2	1	41484683
HIVEP3	1	41918707
GUCA2B	1	42153420
GUCA2A	1	42164724
FOXJ3	1	42335232
RIMKLA	1	42380796
ZMYND12	1	42456267
PPCS	1	42456493
CCDC30	1	42534888
PPIH	1	42658376
YBX1	1	42682234
CLDN19	1	42740254
P3H1	1	42767084
C1orf50	1	42767244
TMEM269	1	42787989
SVBP	1	42817388
ERMAP	1	42825577
ZNF691	1	42846572
SLC2A1	1	42959176
SLC2A1-AS1	1	42959048
FAM183A	1	43147922
EBNA1BP2	1	43172315
CFAP57	1	43172329
TMEM125	1	43269993
C1orf210	1	43285579
TIE1	1	43300894
MPL	1	43337803
CDC20	1	43358954
ELOVL1	1	43368074
MED8	1	43389812
SZT2	1	43389884
HYI	1	43453989
PTPRF	1	43530859
KDM4A	1	43650125
ST3GAL3	1	43707532
ARTN	1	43933319
IPO13	1	43946805
DPH2	1	43969980
ATP6V0B	1	43974647
B4GALT2	1	43979201
CCDC24	1	43991595
SLC6A9	1	44017340
KLF17	1	44118849
DMAP1	1	44213452
ERI3	1	44355279
RNF220	1	44405159
TMEM53	1	44674608
C1orf228	1	44674721
KIF2C	1	44739817
RPS8	1	44775573
BEST4	1	44787754
PLK3	1	44800224
TCTEX1D4	1	44807285
BTBD19	1	44808481
PTCH2	1	44842944
EIF2B3	1	44986722
HECTD3	1	45011355
UROD	1	45012132
ZSWIM5	1	45206578
LINC01144	1	45303909
HPDL	1	45326872
MUTYH	1	45340470
TOE1	1	45339669
TESK2	1	45491168
CCDC163	1	45500079
MMACHC	1	45500183
PRDX1	1	45521938
AKR1A1	1	45550782
NASP	1	45583987
CCDC17	1	45624059
GPBP1L1	1	45686630
TMEM69	1	45688174
IPP	1	45750813
MAST2	1	45803612
PIK3R3	1	46132708
TSPAN1	1	46175076
POMGNT1	1	46197499
LURAP1	1	46203333
RAD54L	1	46247694
LRRC41	1	46303366
UQCRH	1	46303612
NSUN4	1	46340176
FAAH	1	46394266
LINC01398	1	46449704
DMBX1	1	46506995
KNCN	1	46551215
MKNK1	1	46604294
MOB3C	1	46615133
ATPAF1	1	46668427
TEX38	1	46671832
EFCAB14	1	46719064
CYP4B1	1	46798997
CYP4A11	1	46941484
CYP4X1	1	47023567
CYP4Z1	1	47067487
CYP4A22	1	47137424
PDZK1IP1	1	47190099
TAL1	1	47232335
STIL	1	47314147
CMPK1	1	47333796
FOXE3	1	47416071
FOXD2-AS1	1	47434641
FOXD2	1	47436016
TRABD2B	1	47996890
SLC5A9	1	48222684
SPATA6	1	48472208
AGBL4	1	50023954
BEND5	1	48776969
ELAVL4	1	50109615
DMRTA2	1	50423447
FAF1	1	50960264
CDKN2C	1	50968694
C1orf185	1	51102233
RNF11	1	51236272
TTC39A	1	51322268
EPS15	1	51519323
OSBPL9	1	51616873
NRDC	1	51878937
RAB3B	1	51990764
TXNDC12	1	52056171
KTI12	1	52033800
BTF3L4	1	52056184
ZFYVE9	1	52142093
CC2D1B	1	52366205
ORC1	1	52404471
PRPF38A	1	52404546
ZCCHC11	1	52553090
GPX7	1	52602370
FAM159A	1	52633343
COA7	1	52698366
ZYG11B	1	52726458
ZYG11A	1	52842510
ECHDC2	1	52921774
SCP2	1	52927228
PODN	1	53062051
SLC1A7	1	53142632
CPT2	1	53196428
C1orf123	1	53220639
MAGOH	1	53238610
LRP8	1	53328149
LINC01771	1	53328232
DMRTB1	1	53459398
GLIS1	1	53734204
NDC1	1	53838552
YIPF1	1	53889814
DIO1	1	53894186
HSPB11	1	53945823
LRRC42	1	53946325
LDLRAD1	1	54018186
TMEM59	1	54053438
TCEANC2	1	54053571
CDCP2	1	54153006
CYB5RL	1	54200073
MRPL37	1	54200166
SSBP3	1	54406395
ACOT11	1	54548133
FAM151A	1	54623527
MROH7	1	54641739
MROH7-TTC4	1	54641739
TTC4	1	54715821
PARS2	1	54764553
TTC22	1	54801268
LEXM	1	54806062
DHCR24	1	54887248
TMEM61	1	54980663
BSND	1	54998943
PCSK9	1	55039475
USP24	1	55215366
PLPP3	1	56579584
PRKAA2	1	56645316
C1orf168	1	56819696
C8A	1	56854769
C8B	1	56966140
DAB1	1	58250539
OMA1	1	58546799
TACSTD2	1	58577494
MYSM1	1	58700075
JUN	1	58784113
LINC01135	1	58785150
LINC01358	1	59020475
HSD52	1	59146807
FGGY	1	59296952
HOOK1	1	59814860
CYP2J2	1	59926798
C1orf87	1	60073770
NFIA	1	61082307
NFIA-AS1	1	61253518
TM2D1	1	61725423
PATJ	1	61742476
L1TD1	1	62194801
KANK4	1	62319412
USP1	1	62436303
DOCK7	1	62688368
ANGPTL3	1	62597486
ATG4C	1	62784105
LINC00466	1	63317257
FOXD3	1	63323058
ALG6	1	63367589
ITGB3BP	1	63523273
EFCAB7	1	63523300
PGM1	1	63593275
ROR1	1	63774018
UBE2U	1	64203617
CACHD1	1	64470792
RAVER2	1	64745094
JAK1	1	64966569
LINC01359	1	65002476
AK4	1	65148166
DNAJC6	1	65264693
LEPROT	1	65420447
LEPR	1	65420651
PDE4B	1	65792509
SGIP1	1	66533955
TCTEX1D1	1	66752456
INSL5	1	66801259
WDR78	1	66924887
MIER1	1	66924894
SLC35D1	1	67054397
C1orf141	1	67134971
IL23R	1	67166485
IL12RB2	1	67307363
SERBP1	1	67430440
GADD45A	1	67685176
GNG12	1	67833472
DIRAS3	1	68051631
WLS	1	68232546
RPE65	1	68449959
DEPDC1	1	68497221
LRRC7	1	69760174
LRRC40	1	70205678
SRSF11	1	70205681
ANKRD13C	1	70354734
HHLA3	1	70354809
CTH	1	70411217
LINC01788	1	70706452
PTGER3	1	71047808
ZRANB2	1	71081289
ZRANB2-AS2	1	71081323
NEGR1	1	72282594
LINC01360	1	73306169
LRRIQ3	1	74198187
FPGT	1	74198211
FPGT-TNNI3K	1	74198211
TNNI3K	1	74235386
ERICH3	1	74673738
CRYZ	1	74733408
TYW3	1	74733155
LHX8	1	75128433
SLC44A5	1	75611114
ACADM	1	75724346
RABGGTB	1	75786193
MSH4	1	75796870
ASB17	1	75932431
ST6GALNAC3	1	76074683
ST6GALNAC5	1	76867407
PIGK	1	77219447
AK5	1	77282601
ZZZ3	1	77682658
USP33	1	77759879
MIGA1	1	77779623
NEXN	1	77888514
FUBP1	1	77979205
DNAJB4	1	77979157
GIPC2	1	78045904
MGC27382	1	78229598
PTGFR	1	78491042
IFI44L	1	78620381
IFI44	1	78649788
ADGRL4	1	79006810
LINC01781	1	80535754
ADGRL2	1	81800396
LINC01361	1	82984922
LINC01725	1	83860996
TTLL7	1	83999150
PRKACB	1	84164183
SAMD13	1	84298365
DNASE2B	1	84398531
RPF1	1	84479236
GNG5	1	84506579
SPATA1	1	84506300
CTBS	1	84574480
LINC01555	1	84635020
SSX2IP	1	84690557
LPAR3	1	84893213
MCOLN2	1	84997122
MCOLN3	1	85048540
WDR63	1	85062297
SYDE2	1	85201045
C1orf52	1	85259672
BCL10	1	85276904
DDAH1	1	85465206
CYR61	1	85580760
ZNHIT6	1	85708433
COL24A1	1	86156438
ODF2L	1	86396342
CLCA2	1	86423882
CLCA1	1	86468842
CLCA4	1	86547075
SH3GLB1	1	86704569
SELENOF	1	86914365
HS2ST1	1	86914651
LINC01140	1	87131925
LMO4	1	87328467
LINC01364	1	87371655
PKN2	1	88684143
GTF2B	1	88891618
KYAT3	1	88992960
RBMXL1	1	88992960
GBP3	1	89022866
GBP1	1	89065360
GBP2	1	89126159
GBP7	1	89176040
GBP4	1	89198950
GBP5	1	89272861
GBP6	1	89363876
LRRC8B	1	89558712
LRRC8C	1	89633084
LRRC8D	1	89821920
ZNF326	1	89995094
BARHL2	1	90717237
ZNF644	1	91022255
HFM1	1	91404869
CDC7	1	91500846
TGFBR3	1	91886279
BRDT	1	91949370
EPHX4	1	92029975
SETSIP	1	92075472
BTBD8	1	92080304
KIAA1107	1	92168857
C1orf146	1	92218015
GLMN	1	92299009
RPAP2	1	92298964
GFI1	1	92486876
EVI5	1	92792404
RPL5	1	92832036
FAM69A	1	92961522
MTF2	1	93079234
TMED5	1	93180689
CCDC18	1	93180715
CCDC18-AS1	1	93345811
DR1	1	93345920
FNBP1L	1	93448130
BCAR3	1	93681838
DNTTIP2	1	93879206
GCLM	1	93909598
ABCA4	1	94121149
ARHGAP29	1	94237751
ABCD3	1	94418376
F3	1	94541857
SLC44A3	1	94820341
CNN3	1	94927223
ALG14	1	95072951
TMEM56	1	95117337
TMEM56-RWDD3	1	95117922
RWDD3	1	95234154
LINC01760	1	95318263
LINC01761	1	95474736
LINC01787	1	96374125
PTBP2	1	96721604
DPYD	1	97921059
MIR137HG	1	98049693
LINC01776	1	98210710
SNX7	1	98661679
PLPPR5	1	99004893
PLPPR4	1	99264291
LINC01708	1	99487804
PALMD	1	99645874
FRRS1	1	99765793
AGL	1	99850488
SLC35A3	1	99969788
MFSD14A	1	100038232
SASS6	1	100133095
TRMT13	1	100133149
LRRC39	1	100178273
DBT	1	100249853
RTCA-AS1	1	100266174
RTCA	1	100266157
CDC14A	1	100352466
GPR88	1	100538171
LINC01349	1	100647004
VCAM1	1	100719639
EXTL2	1	100895179
SLC30A7	1	100896077
DPH5	1	101025806
S1PR1	1	101236748
LINC01307	1	101323836
OLFM3	1	101997234
COL11A1	1	103108496
RNPC3	1	103525955
AMY2B	1	103554643
AMY2A	1	103617331
LINC01676	1	105618935
PRMT6	1	107056644
NTNG1	1	107139917
VAV3	1	107964923
SLC25A24	1	108200358
NBPF4	1	108244081
NBPF6	1	108450281
FAM102B	1	108560348
HENMT1	1	108661526
PRPF38B	1	108692309
FNDC7	1	108712933
STXBP3	1	108746634
AKNAD1	1	108857104
GPSM2	1	108876980
CLCC1	1	108963499
WDR47	1	109042228
TAF13	1	109076002
TMEM167B	1	109090740
C1orf194	1	109113857
KIAA1324	1	109113962
SARS	1	109213892
CELSR2	1	109250018
PSRC1	1	109283168
MYBPHL	1	109307041
SORT1	1	109397945
PSMA5	1	109426448
SYPL2	1	109466477
ATXN7L2	1	109483938
CYB561D1	1	109494078
AMIGO1	1	109509714
GPR61	1	109539871
GNAI3	1	109548563
GNAT2	1	109613083
AMPD2	1	109619812
GSTM4	1	109656075
GSTM2	1	109668021
GSTM1	1	109687795
GSTM5	1	109712241
GSTM3	1	109741038
EPS8L3	1	109764022
CSF1	1	109910610
AHCYL1	1	109984764
STRIP1	1	110034600
ALX3	1	110070700
UBL4B	1	110112439
SLC6A17	1	110150513
KCNC4	1	110210713
RBM15	1	110339322
SLC16A4	1	110391082
LAMTOR5	1	110407924
LAMTOR5-AS1	1	110407808
PROK1	1	110451165
CYMP-AS1	1	110490258
KCNA10	1	110519175
KCNA2	1	110606353
KCNA3	1	110675033
CD53	1	110873099
LRIF1	1	110963944
DRAM2	1	111140216
CEPT1	1	111140162
DENND2D	1	111200703
CHI3L2	1	111227658
CHIA	1	111290851
PIFO	1	111346559
OVGP1	1	111427777
WDR77	1	111449308
ATP5F1	1	111449120
C1orf162	1	111473868
TMIGD3	1	111564003
ADORA3	1	111504121
LINC01160	1	111608318
RAP1A	1	111619782
FAM212B	1	111739424
DDX20	1	111755567
KCND3	1	111989155
LINC01750	1	111990567
CTTNBP2NL	1	112396177
WNT2B	1	112466540
ST7L	1	112619418
CAPZA1	1	112619452
MOV10	1	112674311
RHOC	1	112707403
PPM1J	1	112715328
FAM19A3	1	112720566
LINC01356	1	112850643
SLC16A1	1	112956353
LRIG2	1	113073169
MAGI3	1	113390852
PHTF1	1	113759540
RSBN1	1	113812476
PTPN22	1	113871759
BCL2L15	1	113887547
AP4B1	1	113905124
DCLRE1B	1	113905292
HIPK1	1	113929373
OLFML3	1	113979390
SYT6	1	114152440
TRIM33	1	114511160
BCAS2	1	114581644
DENND2C	1	114670111
AMPD1	1	114695618
NRAS	1	114716894
CSDE1	1	114758050
SIKE1	1	114780687
SYCP1	1	114854802
TSHB	1	115029823
TSPAN2	1	115089500
NGF	1	115338236
VANGL1	1	115641952
CASQ2	1	115768805
NHLH2	1	115841126
LINC01649	1	115919375
SLC22A15	1	115976497
MAB21L3	1	116111754
ATP1A1	1	116373172
ATP1A1-AS1	1	116418575
LINC01762	1	116478826
CD58	1	116571093
IGSF3	1	116666956
C1orf137	1	116694111
CD2	1	116754429
PTGFRN	1	116909922
CD101	1	117001749
TTF2	1	117060326
TRIM45	1	117121789
VTCN1	1	117210960
LINC01525	1	117295465
MAN1A2	1	117367462
FAM46C	1	117605981
GDAP2	1	117929679
WDR3	1	117929748
SPAG17	1	118185269
TBX15	1	118989556
WARS2	1	119140672
HAO2	1	119368775
HSD3B2	1	119415119
HSD3B1	1	119507202
LINC00622	1	119599291
ZNF697	1	119647767
PHGDH	1	119711795
HMGCS2	1	119768932
REG4	1	119811580
ADAM30	1	119896524
NOTCH2	1	120069703
FAM72B	1	143971969
FCGR1B	1	143874742
SRGAP2B	1	121365290
SRGAP2C	1	121365290
PPIAL4G	1	148483285
FAM72D	1	143971989
PDE4DIP	1	148889451
SEC22B	1	148791404
NOTCH2NL	1	146229032
LINC01719	1	146052595
HFE2	1	146021822
TXNIP	1	145996631
POLR3GL	1	145964681
ANKRD34A	1	145964582
LIX1L	1	145958019
RBM8A	1	145927536
PEX11B	1	145918924
ITGA10	1	145910189
ANKRD35	1	145885866
PIAS3	1	145859081
NUDT17	1	145845632
POLR3C	1	145824068
RNF115	1	145824123
CD160	1	145719445
PDZK1	1	145707400
GPR89A	1	145607959
PRKAB2	1	147172589
FMO5	1	147225638
CHD1L	1	147242640
BCL9	1	147541500
ACP6	1	147670543
GJA5	1	147773362
GJA8	1	147902819
GPR89B	1	147928392
FAM231D	1	143793599
FCGR1A	1	149782693
HIST2H2BF	1	149812373
HIST2H3D	1	149813681
HIST2H2BE	1	149886682
HIST2H2AC	1	149886974
HIST2H2AB	1	149887916
BOLA1	1	149899581
SV2A	1	149917882
SF3B4	1	149928252
MTMR11	1	149936373
OTUD7B	1	150010737
VPS45	1	150067667
PLEKHO1	1	150149433
ANP32E	1	150236156
CA14	1	150257742
APH1A	1	150269209
